--------------------------------------------------
	TERMINOS 	por Juan Cardona
--------------------------------------------------
TERMINO - FRECUENCIA - DF:
luz - 70 - 1
hicieron - 70 - 1
leido - 69 - 1
llegaron - 69 - 1
quisiere - 69 - 1
hare - 69 - 1
vestido - 69 - 1
pensaba - 69 - 1
hazanas - 68 - 1
suceso - 68 - 1
par - 68 - 1
pasado - 67 - 1
tenido - 67 - 1
amigos - 67 - 1
creer - 67 - 1
suya - 67 - 1
querria - 67 - 1
mayores - 67 - 1
destos - 67 - 1
bosque - 66 - 1
espaldas - 66 - 1
tenian - 66 - 1
hago - 66 - 1
virtud - 66 - 1
andar - 66 - 1
barbas - 65 - 1
esperar - 65 - 1
dije - 65 - 1
animo - 65 - 1
sangre - 65 - 1
leer - 65 - 1
oir - 65 - 1
antonio - 65 - 1
hemos - 65 - 1
silla - 65 - 1
pan - 65 - 1
muestras - 65 - 1
escuderos - 64 - 1
discurso - 64 - 1
querer - 64 - 1
culpa - 64 - 1
principio - 64 - 1
acabo - 64 - 1
criados - 64 - 1
llamaba - 64 - 1
lanza - 64 - 1
grandeza - 64 - 1
senal - 64 - 1
noticia - 64 - 1
verde - 63 - 1
saco - 63 - 1
edad - 63 - 1
maese - 63 - 1
encantadores - 63 - 1
enemigo - 63 - 1
llevo - 63 - 1
ansi - 63 - 1
dormir - 62 - 1
oyendo - 62 - 1
ahi - 62 - 1
hijos - 62 - 1
altisidora - 62 - 1
temor - 62 - 1
dano - 62 - 1
sola - 61 - 1
vea - 61 - 1
diez - 61 - 1
queda - 61 - 1
azotes - 61 - 1
obras - 61 - 1
consigo - 61 - 1
sucesos - 61 - 1
compania - 61 - 1
consejo - 61 - 1
ningun - 61 - 1
obra - 61 - 1
tienes - 60 - 1
diese - 60 - 1
haciendo - 60 - 1
enamorado - 60 - 1
carrasco - 60 - 1
provecho - 60 - 1
renegado - 60 - 1
dolor - 60 - 1
hallado - 60 - 1
libre - 60 - 1
valiente - 60 - 1
tuviese - 60 - 1
resolucion - 60 - 1
hambre - 59 - 1
suelen - 59 - 1
veo - 59 - 1
vi - 59 - 1
quedaron - 59 - 1
cuyo - 59 - 1
mar - 59 - 1
hubiese - 59 - 1
presente - 59 - 1
paz - 59 - 1
dineros - 59 - 1
hallar - 58 - 1
vieron - 58 - 1
diga - 58 - 1
venga - 58 - 1
pastor - 58 - 1
media - 58 - 1
oidos - 58 - 1
principal - 58 - 1
necesidad - 58 - 1
sobrina - 58 - 1
mirar - 58 - 1
llama - 58 - 1
ante - 57 - 1
letras - 57 - 1
esposo - 57 - 1
sois - 57 - 1
destas - 57 - 1
deje - 57 - 1
nueva - 57 - 1
caer - 57 - 1
licenciado - 57 - 1
pasaba - 57 - 1
estuvo - 57 - 1
lleno - 57 - 1
dijese - 57 - 1
poeta - 57 - 1
gigante - 56 - 1
quitar - 56 - 1
oficio - 56 - 1
lado - 56 - 1
veinte - 56 - 1
encantado - 56 - 1
reina - 56 - 1
alta - 56 - 1
platica - 56 - 1
aldea - 56 - 1
discrecion - 55 - 1
habra - 55 - 1
encima - 55 - 1
reales - 55 - 1
lejos - 55 - 1
responder - 55 - 1
doy - 55 - 1
princesa - 55 - 1
duenas - 55 - 1
vencido - 55 - 1
llamar - 54 - 1
aire - 54 - 1
oyo - 54 - 1
mirando - 54 - 1
ejercicio - 54 - 1
darle - 54 - 1
risa - 54 - 1
esperando - 54 - 1
esas - 54 - 1
acaso - 54 - 1
cuidado - 53 - 1
prosiguio - 53 - 1
quieres - 53 - 1
servir - 53 - 1
hacienda - 53 - 1
blanca - 53 - 1
fuego - 53 - 1
dentro - 53 - 1
carro - 53 - 1
mujeres - 53 - 1
dejando - 53 - 1
miedo - 53 - 1
poca - 53 - 1
sacar - 53 - 1
contar - 52 - 1
moros - 52 - 1
iban - 52 - 1
claro - 52 - 1
acabar - 52 - 1
versos - 52 - 1
acuerdo - 52 - 1
decis - 52 - 1
dare - 52 - 1
asimismo - 52 - 1
verdadera - 52 - 1
diciendole - 52 - 1
basilio - 52 - 1
roque - 52 - 1
voy - 51 - 1
llegando - 51 - 1
ruido - 51 - 1
historias - 51 - 1
esposa - 51 - 1
servido - 51 - 1
segunda - 51 - 1
conto - 51 - 1
sepa - 51 - 1
sucedido - 51 - 1
presencia - 51 - 1
montesinos - 51 - 1
negocio - 51 - 1
burla - 51 - 1
puesta - 50 - 1
escrito - 50 - 1
efecto - 50 - 1
senoras - 50 - 1
fuerzas - 50 - 1
presentes - 50 - 1
verdadero - 50 - 1
justicia - 50 - 1
supo - 50 - 1
moro - 49 - 1
huesped - 49 - 1
pesar - 49 - 1
aca - 49 - 1
santa - 49 - 1
dire - 49 - 1
torno - 49 - 1
salud - 49 - 1
enemigos - 49 - 1
disparates - 49 - 1
bondad - 49 - 1
dejado - 49 - 1
cargo - 49 - 1
deben - 49 - 1
andaba - 49 - 1
personas - 49 - 1
dan - 49 - 1
trae - 49 - 1
verdaderamente - 48 - 1
nuestras - 48 - 1
respuesta - 48 - 1
blanco - 48 - 1
termino - 48 - 1
sabes - 48 - 1
vestidos - 48 - 1
dices - 48 - 1
conocido - 48 - 1
real - 48 - 1
emperador - 48 - 1
pusieron - 48 - 1
especialmente - 48 - 1
van - 48 - 1
paje - 48 - 1
toca - 48 - 1
genero - 48 - 1
pocos - 47 - 1
pesadumbre - 47 - 1
tome - 47 - 1
cinco - 47 - 1
muestra - 47 - 1
efeto - 47 - 1
pidio - 47 - 1
perder - 47 - 1
colera - 47 - 1
proposito - 47 - 1
opinion - 47 - 1
vuelto - 47 - 1
quieren - 46 - 1
cueva - 46 - 1
imagino - 46 - 1
cabellos - 46 - 1
entiendo - 46 - 1
ano - 46 - 1
corte - 46 - 1
cabrero - 46 - 1
todavia - 46 - 1
amadis - 46 - 1
sabio - 46 - 1
mirad - 46 - 1
ingenio - 46 - 1
primo - 46 - 1
conocer - 46 - 1
fueran - 46 - 1
imaginacion - 46 - 1
cortesia - 46 - 1
tarde - 46 - 1
venido - 46 - 1
darme - 46 - 1
llegado - 46 - 1
cuantas - 45 - 1
gloria - 45 - 1
anda - 45 - 1
pudiese - 45 - 1
favor - 45 - 1
albarda - 45 - 1
arboles - 45 - 1
mesa - 45 - 1
escudos - 45 - 1
juro - 45 - 1
estremo - 45 - 1
instante - 45 - 1
esperanza - 45 - 1
horas - 45 - 1
viento - 45 - 1
peor - 45 - 1
dueno - 45 - 1
general - 45 - 1
sueno - 45 - 1
amores - 45 - 1
tuvieron - 44 - 1
fuesen - 44 - 1
belleza - 44 - 1
guerra - 44 - 1
desdichado - 44 - 1
arriba - 44 - 1
hechos - 44 - 1
largo - 44 - 1
honestidad - 44 - 1
capitan - 44 - 1
esos - 44 - 1
buscando - 44 - 1
cautivo - 44 - 1
leonela - 44 - 1
llevaba - 44 - 1
basta - 44 - 1
vivo - 44 - 1
vamos - 44 - 1
clara - 43 - 1
mire - 43 - 1
tiempos - 43 - 1
subir - 43 - 1
di - 43 - 1
vaya - 43 - 1
abajo - 43 - 1
primer - 43 - 1
quedar - 43 - 1
diego - 43 - 1
contado - 43 - 1
oyeron - 42 - 1
rodriguez - 42 - 1
venganza - 42 - 1
vuestros - 42 - 1
uso - 42 - 1
doce - 42 - 1
mono - 42 - 1
linaje - 42 - 1
imposible - 42 - 1
mejores - 42 - 1
jardin - 42 - 1
llamado - 42 - 1
alto - 42 - 1
fuerte - 42 - 1
pastores - 41 - 1
agravio - 41 - 1
mias - 41 - 1
malos - 41 - 1
alcanzar - 41 - 1
seguro - 41 - 1
siglos - 41 - 1
halle - 41 - 1
vera - 41 - 1
duques - 41 - 1
escribir - 41 - 1
senas - 41 - 1
